X,Y,objectid,name,loctype,lastupdate,confirmedcases,globalid
-13055943.7678,3911860.2881,1,CARLSBAD,Incorporated City,2020/03/25 08:00:00,15,{CA43BC61-F00E-43DA-864C-CBC1F16B6A3C}
-13025980.1151,3845995.7071,2,CHULA VISTA,Incorporated City,2020/03/25 08:00:00,17,{2CE6CDA6-D1C0-456D-B7CE-F918EA498AFA}
-13040305.7757,3849683.3521,3,CORONADO,Incorporated City,2020/03/25 08:00:00,0,{5CE8E228-596C-41E3-8907-59B07B03EFF7}
-13053598.1182,3890456.4197,4,DEL MAR,Incorporated City,2020/03/25 08:00:00,5,{10A1A7A3-4861-45EB-82E3-A1B86B069030}
-13019977.8232,3869010.3783,5,EL CAJON,Incorporated City,2020/03/25 08:00:00,19,{3DDD847F-24D3-4ACB-A761-F7C2BEDDDD3C}
-13053457.8827,3901822.0345,6,ENCINITAS,Incorporated City,2020/03/25 08:00:00,12,{92AA01B7-248A-4CD4-8D3A-B82584DD9EAE}
-13032422.3731,3913182.7739,7,ESCONDIDO,Incorporated City,2020/03/25 08:00:00,7,{8BF0FA7D-8470-4C2A-8F03-7AAFC27CD0C0}
-13037555.5062,3838223.8478,8,IMPERIAL BEACH,Incorporated City,2020/03/25 08:00:00,0,{E574B146-F664-41E5-8E90-A97A1398E702}
-13026645.6096,3864877.6567,9,LA MESA,Incorporated City,2020/03/25 08:00:00,1,{5EE8211C-E70F-4B3D-88E3-817E38F9D145}
-13028211.636,3859954.5455,10,LEMON GROVE,Incorporated City,2020/03/25 08:00:00,1,{6724E795-8655-423B-AEAC-2EBB890433FE}
-13035021.6577,3851915.3974,11,NATIONAL CITY,Incorporated City,2020/03/25 08:00:00,6,{AF122CCB-E092-4F7B-A902-12C0A288FF39}
-13058713.0221,3925163.5645,12,OCEANSIDE,Incorporated City,2020/03/25 08:00:00,8,{02D8834F-CE60-4E20-9254-DD331E040351}
-13026621.7138,3893603.7466,13,POWAY,Incorporated City,2020/03/25 08:00:00,4,{4F7A821E-2BFE-48C5-9330-74977771FF3F}
-13043317.7596,3913521.8578,14,SAN MARCOS,Incorporated City,2020/03/25 08:00:00,3,{67072ABA-3AAA-4CD2-99BE-B808E94441C4}
-13022693.0821,3876133.215,15,SANTEE,Incorporated City,2020/03/25 08:00:00,2,{06E847CF-634F-4178-A157-585181D41803}
-13053032.9052,3894545.1224,16,SOLANA BEACH,Incorporated City,2020/03/25 08:00:00,1,{DA3588F2-346D-4BEC-AC32-90B8857AE110}
-13050937.1562,3920504.8702,17,VISTA,Incorporated City,2020/03/25 08:00:00,5,{BE21785A-EFBC-4CB2-B1E9-5C212C2BD7C3}
-13036572.8683,3877908.5737,18,SAN DIEGO,Incorporated City,2020/03/25 08:00:00,207,{CDDD6728-9A63-4755-BED8-2516C7544FAF}
-13047217.8826,3898975.5031,19,Rancho Santa Fe,Unincorporated,2020/03/25 08:00:00,5,{7E686FCB-9B1F-4F7E-8920-E1BD1E438FC8}
-13009769.1049,3900855.9098,20,Ramona,Unincorporated,2020/03/25 08:00:00,2,{D387D79F-B9D8-4BAC-B869-4B1BE50FC503}
-13049711.3295,3944429.484,21,Fallbrook,Unincorporated,2020/03/25 08:00:00,2,{8D7C8224-6237-443E-A915-AAA151FB33B1}
-13015632.7422,3876391.0926,22,Lakeside,Unincorporated,2020/03/25 08:00:00,2,{7B4C98A3-0FFD-40F0-8A5D-F5C693BD4DFE}
-13026210.9388,3852184.5047,23,Bonita,Unincorporated,2020/03/25 08:00:00,1,{13BB5EC7-C8AE-4DB3-AD13-6FC20E73F9D7}
-13023703.1721,3859438.9896,24,Spring Valley,Unincorporated,2020/03/25 08:00:00,4,{F2028F8C-9BB4-4722-89D4-3D57E07C1970}
-13055943.7678,3911860.2881,25,CARLSBAD,Incorporated City,2020/03/24 08:00:00,16,{61B4F4E3-D86D-44A6-BE8D-84B773D7199B}
-13025980.1151,3845995.7071,26,CHULA VISTA,Incorporated City,2020/03/24 08:00:00,13,{F88F146B-9FE9-46D2-82E8-C52CE63A1691}
-13040305.7757,3849683.3521,27,CORONADO,Incorporated City,2020/03/24 08:00:00,0,{9FEB1F83-F17F-48D8-BC25-CA23B23020F5}
-13053598.1182,3890456.4197,28,DEL MAR,Incorporated City,2020/03/24 08:00:00,5,{B460E456-9008-4281-8119-58F6D80E7CDE}
-13019977.8232,3869010.3783,29,EL CAJON,Incorporated City,2020/03/24 08:00:00,13,{3022279A-D47E-480A-A9AC-5C91F737E043}
-13053457.8827,3901822.0345,30,ENCINITAS,Incorporated City,2020/03/24 08:00:00,8,{985FD0CA-77F0-4626-851D-C15950756CFA}
-13032422.3731,3913182.7739,31,ESCONDIDO,Incorporated City,2020/03/24 08:00:00,6,{A61A7E55-D430-44AB-A8EA-D331DB604ED0}
-13037555.5062,3838223.8478,32,IMPERIAL BEACH,Incorporated City,2020/03/24 08:00:00,0,{B3BD60A9-F4BF-484E-A382-8ACC32D4789D}
-13026645.6096,3864877.6567,33,LA MESA,Incorporated City,2020/03/24 08:00:00,1,{F191747F-AC52-43B9-8E59-6252D2E28A1F}
-13028211.636,3859954.5455,34,LEMON GROVE,Incorporated City,2020/03/24 08:00:00,1,{D6BF08FC-AC79-4D5A-9258-B72B557BEC1F}
-13035021.6577,3851915.3974,35,NATIONAL CITY,Incorporated City,2020/03/24 08:00:00,5,{C893C234-AFF5-4126-8695-04277A39BB97}
-13058713.0221,3925163.5645,36,OCEANSIDE,Incorporated City,2020/03/24 08:00:00,7,{EA1C68FD-AFAC-4E20-A553-91BED7FEAF36}
-13026621.7138,3893603.7466,37,POWAY,Incorporated City,2020/03/24 08:00:00,3,{71A26BA2-E0E2-4A66-B2D8-08D2A4135600}
-13043317.7596,3913521.8578,38,SAN MARCOS,Incorporated City,2020/03/24 08:00:00,3,{919D5D3C-FB84-4142-8DDD-F107514282D6}
-13022693.0821,3876133.215,39,SANTEE,Incorporated City,2020/03/24 08:00:00,1,{4C828459-5453-4BA3-9867-54725F8DEC9B}
-13053032.9052,3894545.1224,40,SOLANA BEACH,Incorporated City,2020/03/24 08:00:00,1,{F2369791-859D-47E8-BE8C-137EA8EAA00C}
-13050937.1562,3920504.8702,41,VISTA,Incorporated City,2020/03/24 08:00:00,3,{F1D47B37-1932-413B-B936-0DD67DBB8F76}
-13036572.8683,3877908.5737,42,SAN DIEGO,Incorporated City,2020/03/24 08:00:00,169,{17DEBA4F-B484-4157-90C1-C9B38608EBDB}
-13047217.8826,3898975.5031,43,Rancho Santa Fe,Unincorporated,2020/03/24 08:00:00,5,{3C824BD3-58E9-4954-99DE-E973402F0BB1}
-13009769.1049,3900855.9098,44,Ramona,Unincorporated,2020/03/24 08:00:00,2,{47C18426-19DE-4771-90A2-1772BE1DFBBD}
-13049711.3295,3944429.484,45,Fallbrook,Unincorporated,2020/03/24 08:00:00,2,{CF72A4CA-6047-43E6-9309-55E46212781E}
-13015632.7422,3876391.0926,46,Lakeside,Unincorporated,2020/03/24 08:00:00,2,{641DFB93-083C-499C-B7EC-C9789FD917BB}
-13026210.9388,3852184.5047,47,Bonita,Unincorporated,2020/03/24 08:00:00,1,{C8700A73-FE85-4C9A-A2FD-C9FAF7E95658}
-13023703.1721,3859438.9896,48,Spring Valley,Unincorporated,2020/03/24 08:00:00,4,{F74AE238-2529-44DE-9626-416242D9445F}
-13055943.7678,3911860.2881,49,CARLSBAD,Incorporated City,2020/03/26 08:00:00,18,{42E2434A-2C67-4DDB-96BB-10380E99586D}
-13025980.1151,3845995.7071,50,CHULA VISTA,Incorporated City,2020/03/26 08:00:00,21,{CB4CA1E9-6206-4F4C-8BF6-E424201B945C}
-13040305.7757,3849683.3521,51,CORONADO,Incorporated City,2020/03/26 08:00:00,1,{D6031D83-63B2-440B-B843-08CF7565EDE1}
-13053598.1182,3890456.4197,52,DEL MAR,Incorporated City,2020/03/26 08:00:00,6,{1A16978D-6AE6-4A74-99DB-D74993EB5EF1}
-13019977.8232,3869010.3783,53,EL CAJON,Incorporated City,2020/03/26 08:00:00,20,{5910A5F7-C229-4EDF-B15C-C47BC603EA4A}
-13053457.8827,3901822.0345,54,ENCINITAS,Incorporated City,2020/03/26 08:00:00,14,{0C76C7CF-ECC3-401A-A855-35941CEEB372}
-13032422.3731,3913182.7739,55,ESCONDIDO,Incorporated City,2020/03/26 08:00:00,7,{C70F505C-2631-4987-93CF-93081301F2FF}
-13037555.5062,3838223.8478,56,IMPERIAL BEACH,Incorporated City,2020/03/26 08:00:00,0,{46238443-8808-44AE-A6AE-C731ECCD91DE}
-13026645.6096,3864877.6567,57,LA MESA,Incorporated City,2020/03/26 08:00:00,3,{8EBE3916-1E3C-4F86-92EE-D176825391ED}
-13028211.636,3859954.5455,58,LEMON GROVE,Incorporated City,2020/03/26 08:00:00,1,{468A5897-1EEB-4DB9-9D62-126A5CBF621D}
-13035021.6577,3851915.3974,59,NATIONAL CITY,Incorporated City,2020/03/26 08:00:00,6,{0F33B962-CA7D-45F6-82D3-68A2A70AA09D}
-13058713.0221,3925163.5645,60,OCEANSIDE,Incorporated City,2020/03/26 08:00:00,8,{04278420-E9BF-4AAB-82FF-1BB840B365A6}
-13026621.7138,3893603.7466,61,POWAY,Incorporated City,2020/03/26 08:00:00,5,{1A9AAAC2-3229-4D9A-8279-2C62F93EF85A}
-13043317.7596,3913521.8578,62,SAN MARCOS,Incorporated City,2020/03/26 08:00:00,3,{D5301D20-A851-478B-ACB4-2C4D03854ACB}
-13022693.0821,3876133.215,63,SANTEE,Incorporated City,2020/03/26 08:00:00,2,{ED785D2A-6187-46AA-A0C3-04E9AA6D3C9D}
-13053032.9052,3894545.1224,64,SOLANA BEACH,Incorporated City,2020/03/26 08:00:00,1,{BA41ACCD-0779-476C-9B0A-A72B762761A7}
-13050937.1562,3920504.8702,65,VISTA,Incorporated City,2020/03/26 08:00:00,6,{05A48B4A-0DA3-4AB5-B658-16EE3845FE54}
-13036572.8683,3877908.5737,66,SAN DIEGO,Incorporated City,2020/03/26 08:00:00,251,{43447B32-0449-4E7E-A29A-D067F1FDEC67}
-13047217.8826,3898975.5031,67,Rancho Santa Fe,Unincorporated,2020/03/26 08:00:00,6,{FC42C920-7E40-4D65-886B-C77550B849B1}
-13009769.1049,3900855.9098,68,Ramona,Unincorporated,2020/03/26 08:00:00,3,{D9842465-C25A-44E5-BBED-559A407E2ADF}
-13049711.3295,3944429.484,69,Fallbrook,Unincorporated,2020/03/26 08:00:00,3,{147AB220-86A3-4199-BC14-80DF5F5DAA46}
-13015632.7422,3876391.0926,70,Lakeside,Unincorporated,2020/03/26 08:00:00,2,{067B1F93-0F4A-41C9-8A13-58849E59E344}
-13026210.9388,3852184.5047,71,Bonita,Unincorporated,2020/03/26 08:00:00,2,{527887EC-46A4-4649-ABA6-CA0D5C8BBA4C}
-13023703.1721,3859438.9896,72,Spring Valley,Unincorporated,2020/03/26 08:00:00,5,{78CE1B66-857F-4C6F-A71F-0B0A9E854B1A}
,,73,Unknown,Unknown,2020/03/28 08:00:00,18,{538AC83D-2D1F-4FBB-A7AB-9EFBC87E2D39}
-13358862.483,3894963.5639,74,Unknown,Unknown,2020/03/24 08:00:00,4,{24B9D010-4059-40EC-882C-506D47868513}
-13358862.483,3894963.5639,75,Unknown,Unknown,2020/03/25 08:00:00,12,{CE6A554F-5F6B-41CB-BD28-CBC9D650D7BB}
-13358862.483,3894963.5639,76,Unknown,Unknown,2020/03/26 08:00:00,23,{B567CF56-CAFE-499A-B971-E0583C4B699F}
-13055943.7678,3911860.2881,77,CARLSBAD,Incorporated City,2020/03/23 08:00:00,13,{C84770E3-C125-4D6A-B032-F018D42163A3}
-13025980.1151,3845995.7071,78,CHULA VISTA,Incorporated City,2020/03/23 08:00:00,7,{8C5094F0-0FAB-49A8-A296-6D88390B0989}
-13040305.7757,3849683.3521,79,CORONADO,Incorporated City,2020/03/23 08:00:00,0,{23E0CCC3-1491-47CE-BB69-EE0546E5AF47}
-13053598.1182,3890456.4197,80,DEL MAR,Incorporated City,2020/03/23 08:00:00,5,{1BB77A58-DDDA-4005-813F-34C160487D46}
-13019977.8232,3869010.3783,81,EL CAJON,Incorporated City,2020/03/23 08:00:00,8,{6263F325-1116-497B-8A72-03DD2939F58E}
-13053457.8827,3901822.0345,82,ENCINITAS,Incorporated City,2020/03/23 08:00:00,7,{45356CA5-E0E2-4601-9526-7A67B21F53E1}
-13032422.3731,3913182.7739,83,ESCONDIDO,Incorporated City,2020/03/23 08:00:00,6,{4EE65023-7310-4813-8CD4-7BBA08BE3435}
-13037555.5062,3838223.8478,84,IMPERIAL BEACH,Incorporated City,2020/03/23 08:00:00,0,{2F857F40-6957-4D4A-89CB-FD442A7B1CDC}
-13026645.6096,3864877.6567,85,LA MESA,Incorporated City,2020/03/23 08:00:00,1,{5C8FAF4C-8969-4FD1-8BE0-5CEDD2A6ABD3}
-13028211.636,3859954.5455,86,LEMON GROVE,Incorporated City,2020/03/23 08:00:00,0,{C492FF1A-101B-4703-A7BD-B41E3E361A41}
-13035021.6577,3851915.3974,87,NATIONAL CITY,Incorporated City,2020/03/23 08:00:00,3,{90FAFEAF-4BBB-4D1C-9D44-B3984723F464}
-13058713.0221,3925163.5645,88,OCEANSIDE,Incorporated City,2020/03/23 08:00:00,7,{CFFE9ACA-FC01-4025-82AF-551977739D93}
-13026621.7138,3893603.7466,89,POWAY,Incorporated City,2020/03/23 08:00:00,2,{0E1276F9-A514-4AB8-ABDB-175D400E2DBA}
-13036573.0365,3877908.5927,90,SAN DIEGO,Incorporated City,2020/03/23 08:00:00,141,{AD7CE9DC-E846-492B-AAE0-5436B116B20D}
-13043317.7596,3913521.8578,91,SAN MARCOS,Incorporated City,2020/03/23 08:00:00,3,{7A7E355D-8F0D-45B2-BBC0-DF238DD46357}
-13022693.0821,3876133.215,92,SANTEE,Incorporated City,2020/03/23 08:00:00,1,{B02DA325-BE1A-4C17-8B4E-FB442EE705EB}
-13053032.9052,3894545.1224,93,SOLANA BEACH,Incorporated City,2020/03/23 08:00:00,1,{0E8DB279-8986-4941-9188-275675664362}
-13050937.1562,3920504.8702,94,VISTA,Incorporated City,2020/03/23 08:00:00,2,{7296358D-CB5C-4E0D-951F-20852321ED7F}
-13036572.8683,3877908.5737,95,FEDERAL QUARANTINE,Federal,2020/03/23 08:00:00,0,{B4C0FB88-0F4F-4015-9C45-2912E42542C1}
-13047217.8826,3898975.5031,96,Rancho Santa Fe,Unincorporated,2020/03/23 08:00:00,5,{FA0E7258-4C68-46B5-915B-C7B6A8590C9F}
-13009769.1049,3900855.9098,97,Ramona,Unincorporated,2020/03/23 08:00:00,2,{40C77A92-E523-4DCA-A1E9-686AD43A4548}
-13049711.3295,3944429.484,98,Fallbrook,Unincorporated,2020/03/23 08:00:00,2,{D616A4D5-629C-4D16-B442-D27BA2F09EA5}
-13015632.7422,3876391.0926,99,Lakeside,Unincorporated,2020/03/23 08:00:00,2,{BE13A9E1-20C8-4C5F-B20B-90635E47F19D}
-13026210.9388,3852184.5047,100,Bonita,Unincorporated,2020/03/23 08:00:00,1,{F544866A-A3E5-4383-90CB-8357619849AB}
-13023703.1721,3859438.9896,101,Spring Valley,Unincorporated,2020/03/23 08:00:00,3,{FB77D8DD-2667-4044-AE2F-3F0FAB792C8C}
-13358862.483,3894963.5639,102,Unknown,Unknown,2020/03/23 08:00:00,4,{235CCB02-9336-4870-8588-FCD024EE41CA}
-13055943.7678,3911860.2881,103,CARLSBAD,Incorporated City,2020/03/22 08:00:00,14,{2EC2711D-14E3-439C-A65F-C68A0CAE18F7}
-13025980.1151,3845995.7071,104,CHULA VISTA,Incorporated City,2020/03/22 08:00:00,6,{DFE1FEA2-4882-40AB-9DEA-07A01A12BBAC}
-13040305.7757,3849683.3521,105,CORONADO,Incorporated City,2020/03/22 08:00:00,0,{8FE70C0C-1CCE-4B90-93BB-C6D4EA4F7961}
-13053598.1182,3890456.4197,106,DEL MAR,Incorporated City,2020/03/22 08:00:00,5,{DEFB4A12-2B51-4993-8D8C-D1B3C11B91F5}
-13019977.8232,3869010.3783,107,EL CAJON,Incorporated City,2020/03/22 08:00:00,7,{B80F5D07-128E-49FF-8BE8-BBCD80942C60}
-13053457.8827,3901822.0345,108,ENCINITAS,Incorporated City,2020/03/22 08:00:00,5,{8D68C5AA-250C-4B70-AFE9-F52E483AEED1}
-13032422.3731,3913182.7739,109,ESCONDIDO,Incorporated City,2020/03/22 08:00:00,5,{EAAEB1E5-9C1A-49EE-95F1-C7F75FB7EB41}
-13037555.5062,3838223.8478,110,IMPERIAL BEACH,Incorporated City,2020/03/22 08:00:00,0,{C1382ECF-DC25-417B-8BC5-F3549375842B}
-13026645.6096,3864877.6567,111,LA MESA,Incorporated City,2020/03/22 08:00:00,1,{1A0CDD9B-616B-4ED5-ADB0-890571168252}
-13028211.636,3859954.5455,112,LEMON GROVE,Incorporated City,2020/03/22 08:00:00,0,{238BF84E-3822-4DE9-8FC8-C6C10EBF7FD5}
-13035021.6577,3851915.3974,113,NATIONAL CITY,Incorporated City,2020/03/22 08:00:00,3,{1AF83E92-CFB3-4FED-B1D5-38CC83DA0E38}
-13058713.0221,3925163.5645,114,OCEANSIDE,Incorporated City,2020/03/22 08:00:00,5,{AE7598B1-216B-4786-98E0-C9B6267BEB4E}
-13026621.7138,3893603.7466,115,POWAY,Incorporated City,2020/03/22 08:00:00,2,{F7A3625A-A470-409C-A95B-B9DD09EC4C6E}
-13036573.0365,3877908.5927,116,SAN DIEGO,Incorporated City,2020/03/22 08:00:00,134,{FD32F264-5C33-41C6-AF83-025A55BAC863}
-13043317.7596,3913521.8578,117,SAN MARCOS,Incorporated City,2020/03/22 08:00:00,3,{9D3E8549-CC36-45BA-87C0-29394B482A23}
-13022693.0821,3876133.215,118,SANTEE,Incorporated City,2020/03/22 08:00:00,1,{050C5810-74A8-4559-B282-A5F12B9828FE}
-13053032.9052,3894545.1224,119,SOLANA BEACH,Incorporated City,2020/03/22 08:00:00,1,{58DF6E26-BC0A-46A1-BCAE-7AFCCDEDBA1E}
-13050937.1562,3920504.8702,120,VISTA,Incorporated City,2020/03/22 08:00:00,2,{F617852F-7425-47A9-8ACB-96FFA610523F}
-13036572.8683,3877908.5737,121,FEDERAL QUARANTINE,Federal,2020/03/22 08:00:00,0,{F8DB46F5-6E8E-44C9-9553-317E06523820}
-13047217.8826,3898975.5031,122,Rancho Santa Fe,Unincorporated,2020/03/22 08:00:00,5,{F13F30D2-C743-4980-8D6D-9A3B038A5F55}
-13009769.1049,3900855.9098,123,Ramona,Unincorporated,2020/03/22 08:00:00,2,{304B224F-C3C1-4A8B-BBA4-727BB2D66684}
-13049711.3295,3944429.484,124,Fallbrook,Unincorporated,2020/03/22 08:00:00,2,{CD8B2EC0-C6CF-4546-BE06-164EC1843844}
-13015632.7422,3876391.0926,125,Lakeside,Unincorporated,2020/03/22 08:00:00,2,{B0A56A73-BB9A-421F-B8C3-D09558497E50}
-13026210.9388,3852184.5047,126,Bonita,Unincorporated,2020/03/22 08:00:00,1,{4A9F43CA-68C5-40B1-9018-811595CBCD85}
-13023703.1721,3859438.9896,127,Spring Valley,Unincorporated,2020/03/22 08:00:00,2,{55C80118-7C52-48C1-99E0-752F628942FD}
-13358862.483,3894963.5639,128,Unknown,Unknown,2020/03/22 08:00:00,5,{A8F014B0-E7CB-4F62-B65C-9485716DF376}
-13358862.483,3894963.5639,129,Unknown,Unknown,2020/03/21 08:00:00,5,{165A7656-194F-4FDB-8FE3-B33FD1237D15}
-13055943.7678,3911860.2881,130,CARLSBAD,Incorporated City,2020/03/21 08:00:00,12,{E75BB9BD-6EDD-4A24-A01E-FFA77A196FD8}
-13025980.1151,3845995.7071,131,CHULA VISTA,Incorporated City,2020/03/21 08:00:00,4,{7C824B42-399A-4D83-941B-273DE5B161C3}
-13040305.7757,3849683.3521,132,CORONADO,Incorporated City,2020/03/21 08:00:00,0,{8839ECC8-12BC-418C-AA2B-CB0EC7591619}
-13053598.1182,3890456.4197,133,DEL MAR,Incorporated City,2020/03/21 08:00:00,4,{3865E47F-E8B3-44AF-9C04-1EEE77A56A1E}
-13019977.8232,3869010.3783,134,EL CAJON,Incorporated City,2020/03/21 08:00:00,2,{410F1394-EE8C-499F-86CC-98BA26D1F454}
-13053457.8827,3901822.0345,135,ENCINITAS,Incorporated City,2020/03/21 08:00:00,5,{06FFA630-3FE3-47F1-9725-9DAC4A66982D}
-13032422.3731,3913182.7739,136,ESCONDIDO,Incorporated City,2020/03/21 08:00:00,3,{39FB1FEB-1793-4FC5-A0CB-28290B29E898}
-13037555.5062,3838223.8478,137,IMPERIAL BEACH,Incorporated City,2020/03/21 08:00:00,0,{64157499-30C3-4F48-9B2C-FA11E4995C27}
-13026645.6096,3864877.6567,138,LA MESA,Incorporated City,2020/03/21 08:00:00,1,{135270B8-8513-4CE5-9A4B-159C37A189E5}
-13028211.636,3859954.5455,139,LEMON GROVE,Incorporated City,2020/03/21 08:00:00,0,{DE518592-7FF1-4E9D-9AFF-CA1FA3FD1443}
-13035021.6577,3851915.3974,140,NATIONAL CITY,Incorporated City,2020/03/21 08:00:00,2,{638AB5CA-4DBF-4ACE-A30E-1CB45AC8F550}
-13058713.0221,3925163.5645,141,OCEANSIDE,Incorporated City,2020/03/21 08:00:00,4,{98093E6B-F6D6-437D-A929-A82FCD706361}
-13026621.7138,3893603.7466,142,POWAY,Incorporated City,2020/03/21 08:00:00,2,{E63AFA45-BC1B-4FC2-A163-53DBAC32BF9E}
-13036573.0365,3877908.5927,143,SAN DIEGO,Incorporated City,2020/03/21 08:00:00,118,{D0ADE4F1-288F-4D95-94E3-7B59B7541F6C}
-13043317.7596,3913521.8578,144,SAN MARCOS,Incorporated City,2020/03/21 08:00:00,3,{D92280E6-D119-407F-BAC0-D9BF3338ED4F}
-13022693.0821,3876133.215,145,SANTEE,Incorporated City,2020/03/21 08:00:00,1,{3907887D-B9EF-4CA7-B060-D6A7B5725E1F}
-13053032.9052,3894545.1224,146,SOLANA BEACH,Incorporated City,2020/03/21 08:00:00,2,{A393B2E9-87B9-4BD5-9B06-69BAC65A6F6B}
-13050937.1562,3920504.8702,147,VISTA,Incorporated City,2020/03/21 08:00:00,2,{6062DA12-4D83-4DA2-A4C4-A6BFBEB93861}
-13036572.8683,3877908.5737,148,FEDERAL QUARANTINE,Federal,2020/03/21 08:00:00,11,{2B23449A-74CE-4842-A210-77AC4BDF54BE}
-13047217.8826,3898975.5031,149,Rancho Santa Fe,Unincorporated,2020/03/21 08:00:00,3,{6C8ADEC1-5536-4013-9EFE-C21181E48208}
-13009769.1049,3900855.9098,150,Ramona,Unincorporated,2020/03/21 08:00:00,2,{E998ACA0-C197-424A-8D75-6FBC3C0ED526}
-13049711.3295,3944429.484,151,Fallbrook,Unincorporated,2020/03/21 08:00:00,2,{8C30FDF9-4E5B-4C4E-BF4F-141C749DA3C1}
-13015632.7422,3876391.0926,152,Lakeside,Unincorporated,2020/03/21 08:00:00,1,{08AC9F4D-388A-40BA-B7C2-EB8928CBA282}
-13026210.9388,3852184.5047,153,Bonita,Unincorporated,2020/03/21 08:00:00,0,{FAE9933A-A330-4679-9298-9E26283ADF69}
-13023703.1721,3859438.9896,154,Spring Valley,Unincorporated,2020/03/21 08:00:00,0,{1FACE68C-F171-4707-9F54-B04D11B06077}
-13358862.483,3894963.5639,155,Unknown,Unknown,2020/03/20 08:00:00,3,{5E20F837-1AA3-4FCC-8D4D-0DB1A5A23D29}
-13055943.7678,3911860.2881,156,CARLSBAD,Incorporated City,2020/03/20 08:00:00,11,{395CF584-3FB6-478B-968C-9F15D10ADE04}
-13025980.1151,3845995.7071,157,CHULA VISTA,Incorporated City,2020/03/20 08:00:00,4,{FA0F25E3-337F-42B0-B507-069D00985304}
-13040305.7757,3849683.3521,158,CORONADO,Incorporated City,2020/03/20 08:00:00,0,{6F7012B3-D497-48E7-AF5F-2D020C15F64E}
-13053598.1182,3890456.4197,159,DEL MAR,Incorporated City,2020/03/20 08:00:00,2,{FA3F5092-ABC4-4F3F-B0DA-9F6032B678D9}
-13019977.8232,3869010.3783,160,EL CAJON,Incorporated City,2020/03/20 08:00:00,2,{21E6B41C-763B-4D80-BC55-7659953AC17D}
-13053457.8827,3901822.0345,161,ENCINITAS,Incorporated City,2020/03/20 08:00:00,4,{CF4EEB83-B8BE-4249-9069-D8809D9D6581}
-13032422.3731,3913182.7739,162,ESCONDIDO,Incorporated City,2020/03/20 08:00:00,2,{657287FC-715B-439B-A3B2-786F64435B67}
-13037555.5062,3838223.8478,163,IMPERIAL BEACH,Incorporated City,2020/03/20 08:00:00,0,{C8B10F26-CBAD-486A-9D53-DA931528F634}
-13026645.6096,3864877.6567,164,LA MESA,Incorporated City,2020/03/20 08:00:00,0,{0D5B6EF9-63C1-477E-B693-0594F7355B40}
-13028211.636,3859954.5455,165,LEMON GROVE,Incorporated City,2020/03/20 08:00:00,0,{A7B0E530-1319-4658-95A6-2C178993C5CC}
-13035021.6577,3851915.3974,166,NATIONAL CITY,Incorporated City,2020/03/20 08:00:00,1,{B27B34C0-02DE-469E-801D-B55CEA7D7B73}
-13058713.0221,3925163.5645,167,OCEANSIDE,Incorporated City,2020/03/20 08:00:00,4,{D9DC0E8A-55D2-4A3D-A6E6-4ACCCDEF3D8E}
-13026621.7138,3893603.7466,168,POWAY,Incorporated City,2020/03/20 08:00:00,1,{AE3FD93D-9184-4E48-B84F-0D67DD69C8C6}
-13036573.0365,3877908.5927,169,SAN DIEGO,Incorporated City,2020/03/20 08:00:00,87,{09D7D0DC-F996-4F66-BA2A-1FCEFFED5083}
-13043317.7596,3913521.8578,170,SAN MARCOS,Incorporated City,2020/03/20 08:00:00,3,{A7CA1D8F-A005-4491-9872-061AFCD964D8}
-13022693.0821,3876133.215,171,SANTEE,Incorporated City,2020/03/20 08:00:00,1,{4F7A4834-8E74-4A6F-B429-8140E0748706}
-13053032.9052,3894545.1224,172,SOLANA BEACH,Incorporated City,2020/03/20 08:00:00,2,{8DD54199-B553-431B-A1A3-DDC43B713F9C}
-13050937.1562,3920504.8702,173,VISTA,Incorporated City,2020/03/20 08:00:00,2,{41882532-C2F6-47ED-A1F6-B4D7FE5B896F}
-13036572.8683,3877908.5737,174,FEDERAL QUARANTINE,Federal,2020/03/20 08:00:00,11,{4E4AD59A-0C70-4F97-BBEB-7DE194EF8F2D}
-13047217.8826,3898975.5031,175,Rancho Santa Fe,Unincorporated,2020/03/20 08:00:00,2,{CF3CFFB2-869D-48A9-A1C1-6AEB0E515BEF}
-13009769.1049,3900855.9098,176,Ramona,Unincorporated,2020/03/20 08:00:00,2,{FC6C3A30-7D9B-4F52-8D90-6100DCA3CC81}
-13049711.3295,3944429.484,177,Fallbrook,Unincorporated,2020/03/20 08:00:00,2,{7A1D415D-38DF-4262-B473-8E3D899DC78B}
-13015632.7422,3876391.0926,178,Lakeside,Unincorporated,2020/03/20 08:00:00,0,{219F2F8D-0456-4A53-88AF-238475CACB1C}
-13026210.9388,3852184.5047,179,Bonita,Unincorporated,2020/03/20 08:00:00,0,{D2FB6339-3918-4ABB-8FAD-C8504F20772A}
-13023703.1721,3859438.9896,180,Spring Valley,Unincorporated,2020/03/20 08:00:00,0,{69DFDCEA-F1D6-424C-B29F-740A3925586D}
-13055943.7678,3911860.2881,181,CARLSBAD,Incorporated City,2020/03/27 08:00:00,19,{1079B408-759C-4C9E-A62D-91B8E4D3E89B}
-13025980.1151,3845995.7071,182,CHULA VISTA,Incorporated City,2020/03/27 08:00:00,24,{F054EA62-AC11-4D4A-BD75-26BAAFFF37A0}
-13040305.7757,3849683.3521,183,CORONADO,Incorporated City,2020/03/27 08:00:00,1,{95213939-174B-4655-AAB2-32CA2EBD2B15}
